Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,12,1248,954,712,38,72,2,222,532,0,2
D:\Лабы\Проги(КОД)\Kursach\Kursach,12,1248,954,712,38,72,2,222,532,0,2
D:\Лабы\Проги(КОД)\Kursach\Kursach\Properties,3,222,119,62,13,29,2,74,336,0,2
